"(11426, 736, 720)"
"(11330, 736, 3008)"
"(11442, 736, 2944)"
"(11554, 720, 704)"
"(11522, 736, 1280)"
"(11474, 736, 2912)"
"(11490, 736, 2912)"
"(11554, 736, 944)"
"(9810, 720, 2896)"
"(11938, 736, 3248)"
"(19524, 768, 656)"
"(24565, 784, 672)"
"(8722, 736, 640)"
"(8386, 752, 2288)"
"(19156, 736, 672)"
"(12162, 736, 592)"
"(9426, 752, 2736)"
"(26726, 768, 672)"
"(29047, 800, 672)"
"(8706, 736, 2368)"
"(24838, 768, 688)"
"(8498, 736, 656)"
"(16740, 768, 736)"
"(26758, 784, 672)"
"(8530, 736, 2496)"
"(8177, 736, 3984)"
"(9042, 720, 2688)"
"(20805, 768, 720)"
